method,duration_clock,duration_mono,duration_sys,n_mpi_process,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,interaction
cuda,1.979814,2.703100 ,2.703098,,32.0,32.0,16.0,16.0,125
cuda,1.611753,3.645249 ,3.645247,,32.0,32.0,16.0,16.0,126
cuda,1.944542,2.918270 ,2.918268,,32.0,32.0,16.0,16.0,127
cuda,1.915447,2.627513 ,2.627512,,32.0,32.0,16.0,16.0,128
cuda,1.571019,2.387138 ,2.387136,,32.0,32.0,16.0,16.0,129
cuda,1.971656,2.956937 ,2.956935,,32.0,32.0,16.0,16.0,130
cuda,1.591181,2.336214 ,2.336212,,32.0,32.0,16.0,16.0,131
cuda,1.940833,2.762672 ,2.762670,,32.0,32.0,16.0,16.0,132
cuda,1.929601,4.817566 ,4.817564,,32.0,32.0,16.0,16.0,133
cuda,1.620747,2.593484 ,2.593481,,32.0,32.0,16.0,16.0,134
cuda,1.947237,3.113481 ,3.113479,,32.0,32.0,16.0,16.0,135
cuda,1.916706,2.379692 ,2.379690,,32.0,32.0,16.0,16.0,136
cuda,1.938411,3.368083 ,3.368081,,32.0,32.0,16.0,16.0,137
cuda,1.918810,2.645823 ,2.645822,,32.0,32.0,16.0,16.0,138
cuda,1.562798,2.807704 ,2.807703,,32.0,32.0,16.0,16.0,139
cuda,1.956448,3.383433 ,3.383431,,32.0,32.0,16.0,16.0,140
cuda,1.920580,2.818934 ,2.818931,,32.0,32.0,16.0,16.0,141
cuda,1.921973,2.521437 ,2.521435,,32.0,32.0,16.0,16.0,142
cuda,1.941390,2.374113 ,2.374111,,32.0,32.0,16.0,16.0,143
cuda,1.927855,3.480839 ,3.480837,,32.0,32.0,16.0,16.0,144
cuda,1.934387,2.389588 ,2.389587,,32.0,32.0,16.0,16.0,145
cuda,1.934496,2.827978 ,2.827975,,32.0,32.0,16.0,16.0,146
cuda,1.923216,2.668330 ,2.668328,,32.0,32.0,16.0,16.0,147
cuda,1.936479,2.964503 ,2.964502,,32.0,32.0,16.0,16.0,148
cuda,1.906066,2.652213 ,2.652211,,32.0,32.0,16.0,16.0,149
cuda,1.932950,4.866549 ,4.866547,,32.0,32.0,16.0,16.0,150
cuda,1.648646,2.473566 ,2.473564,,32.0,32.0,16.0,16.0,151
cuda,1.927881,2.931867 ,2.931865,,32.0,32.0,16.0,16.0,152
cuda,1.933968,2.830019 ,2.830018,,32.0,32.0,16.0,16.0,153
cuda,1.563011,2.073170 ,2.073168,,32.0,32.0,16.0,16.0,154
cuda,1.933581,2.433102 ,2.433101,,32.0,32.0,16.0,16.0,155
cuda,1.933922,2.689316 ,2.689313,,32.0,32.0,16.0,16.0,156
cuda,1.580296,2.401043 ,2.401041,,32.0,32.0,16.0,16.0,157
cuda,1.918712,2.868467 ,2.868466,,32.0,32.0,16.0,16.0,158
cuda,1.913747,3.008075 ,3.008073,,32.0,32.0,16.0,16.0,159
cuda,1.936783,3.448653 ,3.448651,,32.0,32.0,16.0,16.0,160
cuda,1.589342,3.010202 ,3.010200,,32.0,32.0,16.0,16.0,161
cuda,1.563538,2.642012 ,2.642010,,32.0,32.0,16.0,16.0,162
cuda,1.943475,3.488042 ,3.488041,,32.0,32.0,16.0,16.0,163
cuda,1.925076,2.695954 ,2.695953,,32.0,32.0,16.0,16.0,164
cuda,1.581784,2.491621 ,2.491619,,32.0,32.0,16.0,16.0,165
cuda,1.653374,2.461905 ,2.461904,,32.0,32.0,16.0,16.0,166
cuda,1.921250,6.348947 ,6.348945,,32.0,32.0,16.0,16.0,167
cuda,1.621589,2.597114 ,2.597113,,32.0,32.0,16.0,16.0,168
cuda,1.922117,2.867411 ,2.867409,,32.0,32.0,16.0,16.0,169
cuda,2.023986,2.677767 ,2.677766,,32.0,32.0,16.0,16.0,170
cuda,1.923164,2.694751 ,2.694750,,32.0,32.0,16.0,16.0,171
cuda,1.920771,2.840778 ,2.840777,,32.0,32.0,16.0,16.0,172
cuda,1.658617,3.817314 ,3.817313,,32.0,32.0,16.0,16.0,173
cuda,1.560637,3.673433 ,3.673431,,32.0,32.0,16.0,16.0,174
cuda,1.917426,3.004059 ,3.004059,,32.0,32.0,16.0,16.0,175
cuda,1.917837,3.207790 ,3.207788,,32.0,32.0,16.0,16.0,176
cuda,1.586803,2.866802 ,2.866800,,32.0,32.0,16.0,16.0,177
cuda,1.562301,2.927213 ,2.927211,,32.0,32.0,16.0,16.0,178
cuda,1.559887,2.327296 ,2.327295,,32.0,32.0,16.0,16.0,179
cuda,1.924039,4.653455 ,4.653454,,32.0,32.0,16.0,16.0,180
cuda,1.953400,2.443394 ,2.443392,,32.0,32.0,16.0,16.0,181
cuda,2.007868,2.601636 ,2.601634,,32.0,32.0,16.0,16.0,182
cuda,1.929325,2.921387 ,2.921386,,32.0,32.0,16.0,16.0,183
cuda,1.968645,2.888181 ,2.888180,,32.0,32.0,16.0,16.0,184
cuda,1.941762,2.705397 ,2.705395,,32.0,32.0,16.0,16.0,185
cuda,1.621737,2.470168 ,2.470166,,32.0,32.0,16.0,16.0,186
