method,duration_clock,duration_mono,duration_sys,n_mpi,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,n_threads,interaction
cuda,34.427388,34.974692 ,34.974689,,2,2,2,2,,11
cuda,34.721724,35.368932 ,35.368930,,2,2,2,2,,12
cuda,34.820206,35.465779 ,35.465777,,2,2,2,2,,13
cuda,34.908724,35.558916 ,35.558914,,2,2,2,2,,14
cuda,35.118774,35.681118 ,35.681115,,2,2,2,2,,15
cuda,9.910055,10.550710 ,10.550709,,2,2,4,4,,1
cuda,10.312918,10.974751 ,10.974749,,2,2,4,4,,2
cuda,10.262716,10.898052 ,10.898049,,2,2,4,4,,3
cuda,10.407441,10.966731 ,10.966730,,2,2,4,4,,4
cuda,10.242909,10.943603 ,10.943601,,2,2,4,4,,5
cuda,10.274723,11.033660 ,11.033659,,2,2,4,4,,6
cuda,10.670529,11.266952 ,11.266950,,2,2,4,4,,7
cuda,10.267247,10.954730 ,10.954729,,2,2,4,4,,8
cuda,10.250655,10.783488 ,10.783486,,2,2,4,4,,9
cuda,10.273227,10.938122 ,10.938121,,2,2,4,4,,10
cuda,10.227086,11.017337 ,11.017336,,2,2,4,4,,11
cuda,10.277530,11.050627 ,11.050624,,2,2,4,4,,12
cuda,10.197113,10.826148 ,10.826146,,2,2,4,4,,13
cuda,10.238212,10.799503 ,10.799501,,2,2,4,4,,14
cuda,10.252931,10.898452 ,10.898450,,2,2,4,4,,15
cuda,4.097405,4.711602 ,4.711601,,2,2,8,8,,1
cuda,3.999616,4.714080 ,4.714079,,2,2,8,8,,2
cuda,4.103117,4.686865 ,4.686863,,2,2,8,8,,3
cuda,3.778188,4.578866 ,4.578863,,2,2,8,8,,4
cuda,4.069015,4.710388 ,4.710386,,2,2,8,8,,5
cuda,4.011903,4.649298 ,4.649296,,2,2,8,8,,6
