size	region	delta_x	delta_y	duration_clock	duration_mono	duration_sys	threads	method	i_o
256	Full Picture	4.0	4.0	0.02181	0.031077	0.031075	32	pth	0
256	Full Picture	4.0	4.0	0.022323	0.034036	0.034033	32	pth	0
512	Full Picture	4.0	4.0	0.078196	0.190205	0.190203	1	pth	0
512	Full Picture	4.0	4.0	0.073152	0.194741	0.194738	1	pth	0
512	Full Picture	4.0	4.0	0.074541	0.155789	0.155786	1	pth	0
512	Full Picture	4.0	4.0	0.078092	0.19987	0.199866	1	pth	0
512	Full Picture	4.0	4.0	0.066321	0.152755	0.152753	1	pth	0
512	Full Picture	4.0	4.0	0.076349	0.166334	0.166331	1	pth	0
512	Full Picture	4.0	4.0	0.066847	0.175281	0.175278	1	pth	0
512	Full Picture	4.0	4.0	0.077258	0.159995	0.15999	1	pth	0
512	Full Picture	4.0	4.0	0.07558	0.143937	0.143935	1	pth	0
512	Full Picture	4.0	4.0	0.068781	0.17453	0.174527	1	pth	0
512	Full Picture	4.0	4.0	0.067052	0.092556	0.092552	2	pth	0
512	Full Picture	4.0	4.0	0.07528	0.097142	0.097139	2	pth	0
512	Full Picture	4.0	4.0	0.07751	0.104455	0.104451	2	pth	0
512	Full Picture	4.0	4.0	0.073603	0.100626	0.100622	2	pth	0
512	Full Picture	4.0	4.0	0.075732	0.124141	0.124138	2	pth	0
512	Full Picture	4.0	4.0	0.075109	0.099255	0.099252	2	pth	0
512	Full Picture	4.0	4.0	0.078514	0.106753	0.10675	2	pth	0
512	Full Picture	4.0	4.0	0.079641	0.124564	0.12456	2	pth	0
512	Full Picture	4.0	4.0	0.075617	0.110278	0.110275	2	pth	0
512	Full Picture	4.0	4.0	0.071446	0.079045	0.079041	2	pth	0
512	Full Picture	4.0	4.0	0.078107	0.090846	0.090842	4	pth	0
512	Full Picture	4.0	4.0	0.079137	0.094456	0.094453	4	pth	0
512	Full Picture	4.0	4.0	0.07656	0.106859	0.106856	4	pth	0
512	Full Picture	4.0	4.0	0.076934	0.093111	0.093108	4	pth	0
512	Full Picture	4.0	4.0	0.076371	0.111569	0.111566	4	pth	0
512	Full Picture	4.0	4.0	0.073699	0.09313	0.093126	4	pth	0
512	Full Picture	4.0	4.0	0.078397	0.091752	0.091748	4	pth	0
512	Full Picture	4.0	4.0	0.075576	0.116351	0.116348	4	pth	0
512	Full Picture	4.0	4.0	0.072861	0.080325	0.080321	4	pth	0
512	Full Picture	4.0	4.0	0.0753	0.0917	0.091696	4	pth	0
512	Full Picture	4.0	4.0	0.070323	0.076245	0.076242	8	pth	0
512	Full Picture	4.0	4.0	0.078515	0.087724	0.087721	8	pth	0
512	Full Picture	4.0	4.0	0.080454	0.042014	0.042009	8	pth	0
512	Full Picture	4.0	4.0	0.078544	0.040842	0.040837	8	pth	0
512	Full Picture	4.0	4.0	0.078648	0.045876	0.045873	8	pth	0
512	Full Picture	4.0	4.0	0.089095	0.042991	0.042986	8	pth	0
512	Full Picture	4.0	4.0	0.079755	0.05058	0.050575	8	pth	0
512	Full Picture	4.0	4.0	0.080891	0.045099	0.045095	8	pth	0
512	Full Picture	4.0	4.0	0.078258	0.04222	0.042215	8	pth	0
512	Full Picture	4.0	4.0	0.080035	0.045317	0.045312	8	pth	0
512	Full Picture	4.0	4.0	0.091183	0.033902	0.033899	16	pth	0
512	Full Picture	4.0	4.0	0.085594	0.033219	0.033214	16	pth	0
512	Full Picture	4.0	4.0	0.085362	0.035158	0.035153	16	pth	0
512	Full Picture	4.0	4.0	0.088675	0.034874	0.03487	16	pth	0
512	Full Picture	4.0	4.0	0.08674	0.036051	0.036047	16	pth	0
512	Full Picture	4.0	4.0	0.089914	0.035581	0.035577	16	pth	0
512	Full Picture	4.0	4.0	0.089274	0.03521	0.035206	16	pth	0
512	Full Picture	4.0	4.0	0.082917	0.033839	0.033835	16	pth	0
512	Full Picture	4.0	4.0	0.085944	0.034961	0.034958	16	pth	0
512	Full Picture	4.0	4.0	0.076298	0.029902	0.029898	16	pth	0
512	Full Picture	4.0	4.0	0.081497	0.023232	0.023226	32	pth	0
512	Full Picture	4.0	4.0	0.078074	0.022301	0.022297	32	pth	0
512	Full Picture	4.0	4.0	0.078274	0.024448	0.024444	32	pth	0
512	Full Picture	4.0	4.0	0.085076	0.026264	0.026258	32	pth	0
512	Full Picture	4.0	4.0	0.085219	0.02372	0.023714	32	pth	0
512	Full Picture	4.0	4.0	0.083354	0.032074	0.03207	32	pth	0
512	Full Picture	4.0	4.0	0.077871	0.027031	0.027026	32	pth	0
512	Full Picture	4.0	4.0	0.075608	0.026139	0.026136	32	pth	0
512	Full Picture	4.0	4.0	0.075559	0.019848	0.019844	32	pth	0
512	Full Picture	4.0	4.0	0.077051	0.02683	0.026826	32	pth	0
1024	Full Picture	4.0	4.0	0.269041	0.269833	0.269829	1	pth	0
1024	Full Picture	4.0	4.0	0.268898	0.269473	0.269469	1	pth	0
