i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
1	1	pth	Full Picture	8192	4.0	4.0	19.3802168	19.795535999999995	19.795531999999998	3.9745373679986824	4.120510746197787	4.1205104526866085	10
0	2	pth	Full Picture	8192	4.0	4.0	20.4849642	13.2111762	13.211172100000002	3.2931874985233627	7.8652193523441545	7.865219801514249	10
1	2	pth	Full Picture	8192	4.0	4.0	20.4849642	13.2111762	13.211172100000002	3.2931874985233627	7.8652193523441545	7.865219801514249	10
0	4	pth	Full Picture	8192	4.0	4.0	20.414049600000002	12.055984800000001	12.0559805	1.8034692219343613	5.956919757753428	5.956920797013786	10
1	4	pth	Full Picture	8192	4.0	4.0	20.414049600000002	12.055984800000001	12.0559805	1.8034692219343613	5.956919757753428	5.956920797013786	10
0	8	pth	Full Picture	8192	4.0	4.0	19.3165348	9.9546156	9.9546117	2.085739608721714	6.422598321672072	6.422599855703135	10
1	8	pth	Full Picture	8192	4.0	4.0	19.3165348	9.9546156	9.9546117	2.085739608721714	6.422598321672072	6.422599855703135	10
0	16	pth	Full Picture	8192	4.0	4.0	20.0072857	7.997	7.996996500000002	3.1936676835223534	2.7904872134757484	2.790488077202747	10
1	16	pth	Full Picture	8192	4.0	4.0	20.0072857	7.997	7.996996500000002	3.1936676835223534	2.7904872134757484	2.790488077202747	10
0	32	pth	Full Picture	8192	4.0	4.0	19.2838506	5.014759500000001	5.0147561000000005	1.3033558459372347	0.7394078442527356	0.7394082031521653	10
1	32	pth	Full Picture	8192	4.0	4.0	19.2838506	5.014759500000001	5.0147561000000005	1.3033558459372347	0.7394078442527356	0.7394082031521653	10
0	1	omp	Full Picture	16	4.0	4.0	0.0001017	9.120000000000001e-5	8.989999999999999e-5	1.543443826138303e-5	1.3698204910782202e-5	1.337180383410472e-5	10
1	1	omp	Full Picture	16	4.0	4.0	0.0001017	9.120000000000001e-5	8.989999999999999e-5	1.543443826138303e-5	1.3698204910782202e-5	1.337180383410472e-5	10
0	2	omp	Full Picture	16	4.0	4.0	0.0028443	0.0092634	0.0092623	0.0019338947090309175	0.012160162211362516	0.012160141039650631	10
1	2	omp	Full Picture	16	4.0	4.0	0.0028443	0.0092634	0.0092623	0.0019338947090309175	0.012160162211362516	0.012160141039650631	10
0	4	omp	Full Picture	16	4.0	4.0	0.0089131	0.0142347	0.014233699999999998	0.0051054789620546106	0.011296308740068638	0.01129649260616252	10
1	4	omp	Full Picture	16	4.0	4.0	0.0089131	0.0142347	0.014233699999999998	0.0051054789620546106	0.011296308740068638	0.01129649260616252	10
